,PM2.5_Concentration(microgram/m3),Ozone_Concentration(microgram/m3),NOx_Concentration(ppb),Temperature(Celsius),Wind_Speed(m/s),Relative_Humidity(%),Solar_Radiation(w/m2)
2015-04-04 10:00:00,58.22,37.23,44.67,17.57,1.88,78.33,332.44
2015-04-04 11:00:00,37.67,53.48,43.51,20.02,1.72,65.0,333.83
2015-04-04 12:00:00,36.0,96.23,32.07,20.99,1.3,58.17,311.33
2015-04-04 14:00:00,32.0,75.14,28.03,23.53,1.86,49.92,374.25
2015-04-04 15:00:00,32.17,69.67,32.95,22.97,1.91,49.67,316.75
2015-04-04 16:00:00,35.33,97.0,41.26,22.97,1.49,48.08,210.75
2015-04-04 17:00:00,54.83,28.1,38.95,22.04,1.02,50.92,61.92
2015-04-04 18:00:00,79.17,28.18,73.0,20.14,0.33,57.92,14.0
2015-04-04 19:00:00,11.83,2.86,92.01,19.08,0.58,64.42,4.25
2015-04-04 20:00:00,46.83,20.57,91.78,18.39,0.4,68.08,4.33
2015-04-04 21:00:00,59.73,81.14,89.76,17.94,0.59,70.58,4.5
2015-04-04 22:00:00,90.5,11.55,59.95,17.83,1.75,72.83,4.33
2015-04-04 23:00:00,49.5,9.29,60.88,17.02,0.96,74.67,4.33
2015-04-05 00:00:00,60.83,5.06,58.9,16.08,0.32,77.0,4.5
2015-04-05 01:00:00,79.82,5.88,60.59,15.42,0.3,80.33,4.5
2015-04-05 02:00:00,74.5,7.44,56.97,14.86,0.3,82.75,4.67
2015-04-05 03:00:00,51.09,17.37,48.73,14.45,0.3,84.33,4.33
2015-04-05 04:00:00,41.83,21.26,30.22,14.23,0.3,85.75,4.25
2015-04-05 05:00:00,18.17,15.28,30.06,14.05,0.3,86.25,4.58
2015-04-05 06:00:00,29.36,20.81,46.43,14.68,0.42,86.25,25.92
2015-04-05 07:00:00,45.0,10.82,71.63,17.95,0.73,76.92,161.83
2015-04-05 08:00:00,101.83,12.22,65.99,21.78,1.5,55.92,324.42
2015-04-05 09:00:00,88.17,63.1,46.2,23.85,1.44,47.42,378.67
2015-04-05 10:00:00,99.0,68.0,40.77,24.87,1.73,45.67,403.33
2015-04-09 12:00:00,27.0,154.5,18.56,30.08,2.96,27.6,420.4
2015-04-09 13:00:00,26.0,155.6,21.31,30.62,3.28,24.58,416.0
2015-04-09 14:00:00,25.0,155.88,22.01,30.82,3.28,23.83,403.83
2015-04-09 15:00:00,20.5,155.74,20.67,30.74,3.07,23.42,380.33
2015-04-09 16:00:00,27.0,144.89,27.92,30.23,2.34,24.0,217.5
2015-04-09 17:00:00,39.67,124.58,38.43,29.17,1.55,25.67,49.0
2015-04-09 18:00:00,50.33,68.73,72.3,27.12,1.14,29.58,14.08
2015-04-09 19:00:00,38.83,9.22,115.34,24.79,0.54,35.42,4.25
2015-04-09 20:00:00,46.67,8.44,117.01,23.1,0.3,41.42,4.42
2015-04-09 21:00:00,46.67,7.36,118.08,22.14,0.3,46.33,4.42
2015-04-09 23:00:00,96.83,7.99,96.68,20.83,0.33,50.5,4.33
2015-04-10 00:00:00,126.17,5.29,90.21,20.45,0.42,50.67,4.5
2015-04-10 01:00:00,137.17,6.17,88.09,19.76,0.4,53.5,4.67
2015-04-10 02:00:00,179.83,11.1,82.65,18.37,0.3,60.5,4.58
2015-04-10 03:00:00,133.17,8.62,85.52,17.72,0.3,64.17,4.75
2015-04-10 04:00:00,100.0,9.77,78.1,17.48,0.3,65.33,4.83
2015-04-10 05:00:00,80.5,8.72,78.39,16.84,0.3,68.67,5.33
2015-04-10 06:00:00,90.5,10.08,85.28,17.8,0.34,66.75,32.75
2015-04-10 07:00:00,138.0,8.71,81.93,21.25,0.55,56.08,162.75
2015-04-10 08:00:00,186.5,28.82,77.58,24.76,1.56,47.0,312.17
2015-04-10 09:00:00,174.5,84.51,58.32,27.29,2.0,39.58,377.17
2015-04-10 10:00:00,138.17,146.82,30.32,29.35,2.34,34.25,392.17
2015-04-10 11:00:00,65.83,158.52,26.08,31.42,2.48,30.08,385.92
2015-04-10 12:00:00,50.0,152.26,20.62,32.5,2.85,26.58,411.0
2015-04-10 13:00:00,56.0,146.1,18.4,33.09,3.05,22.08,408.42
2015-04-10 14:00:00,52.5,155.03,21.16,33.25,2.91,21.33,395.92
2015-04-10 15:00:00,34.27,162.03,21.75,33.2,2.41,19.58,372.33
2015-04-10 16:00:00,29.0,155.46,24.13,32.62,2.02,18.75,228.0
2015-04-10 17:00:00,43.0,128.17,37.87,31.29,1.57,19.83,58.08
2015-04-10 18:00:00,61.67,35.55,105.28,28.53,0.66,26.83,14.83
2015-04-10 19:00:00,67.5,10.22,131.58,25.87,0.3,35.33,4.25
2015-04-10 20:00:00,85.33,9.71,125.27,24.34,0.3,43.58,4.25
2015-04-10 21:00:00,133.33,15.66,112.67,23.16,0.3,52.17,4.25
2015-04-10 22:00:00,242.17,17.27,93.93,22.19,0.3,56.42,4.42
2015-04-10 23:00:00,246.45,18.2,92.98,22.45,0.3,52.0,4.42
2015-04-11 00:00:00,184.0,24.21,129.83,20.81,0.3,59.83,4.25
2015-04-11 01:00:00,206.67,14.13,91.39,20.13,0.3,60.42,4.58
2015-04-11 02:00:00,233.67,19.47,84.34,19.63,0.3,60.83,4.58
2015-04-11 03:00:00,170.83,20.15,74.23,18.59,0.3,66.58,4.83
2015-04-11 04:00:00,132.67,25.48,65.06,18.21,0.3,68.33,4.67
2015-04-11 05:00:00,97.83,17.36,68.27,17.78,0.3,69.83,4.92
2015-04-11 06:00:00,112.5,18.55,68.83,18.17,0.3,70.17,29.33
2015-04-11 07:00:00,148.33,11.36,94.31,22.42,0.45,55.33,150.75
2015-04-11 08:00:00,186.0,20.42,88.48,27.66,1.12,36.92,308.17
2015-04-11 09:00:00,153.17,73.27,42.96,31.86,0.89,28.25,367.67
2015-04-11 10:00:00,81.0,123.96,25.57,33.9,1.29,22.42,378.92
2015-04-11 11:00:00,40.5,157.43,21.58,34.27,1.51,22.0,372.17
2015-04-11 12:00:00,34.5,162.83,23.76,35.23,1.66,19.83,386.08
2015-04-11 13:00:00,17.5,178.33,21.3,34.48,2.1,18.75,377.25
2015-04-11 14:00:00,33.0,186.41,22.22,35.39,1.79,18.08,370.75
2015-04-11 15:00:00,94.91,189.92,23.86,34.6,1.38,18.58,321.5
2015-04-11 16:00:00,77.5,140.75,41.18,32.33,0.77,20.33,110.42
2015-04-11 17:00:00,65.5,59.72,94.0,29.94,0.32,29.83,53.42
2015-04-11 18:00:00,87.0,24.39,106.77,28.11,0.74,30.17,13.0
2015-04-11 19:00:00,60.5,8.38,121.56,26.27,0.3,33.33,4.0
2015-04-11 20:00:00,62.17,9.32,115.63,25.03,0.3,40.0,4.25
2015-04-11 21:00:00,73.33,11.91,103.48,24.37,1.22,42.67,4.25
2015-04-11 22:00:00,129.09,62.08,30.06,25.1,2.19,34.17,4.17
2015-04-11 23:00:00,34.5,28.37,39.66,22.19,0.91,51.0,4.25
2015-04-12 00:00:00,33.67,62.22,30.15,22.46,3.2,45.75,4.33
2015-04-12 01:00:00,52.17,29.85,32.64,18.93,3.07,66.58,4.17
2015-04-12 02:00:00,98.0,42.25,28.05,18.85,2.76,66.5,4.5
2015-04-12 03:00:00,64.64,47.28,35.6,19.28,1.84,62.83,4.75
2015-04-12 04:00:00,24.5,39.28,45.65,19.33,1.6,64.42,4.33
2015-04-12 05:00:00,12.0,26.45,54.13,18.48,1.69,67.17,4.08
2015-04-12 06:00:00,14.5,31.64,50.84,19.38,1.16,59.83,15.83
2015-04-12 07:00:00,29.67,13.36,71.22,20.13,0.98,57.25,54.67
2015-04-12 08:00:00,47.17,18.01,62.51,21.45,2.04,51.17,121.33
2015-04-12 09:00:00,73.5,33.84,60.61,21.93,1.96,50.25,159.92
2015-04-12 10:00:00,92.17,53.55,60.96,24.04,1.75,44.75,252.58
2015-04-12 11:00:00,46.83,57.23,66.04,24.38,1.01,44.33,140.92
2015-04-12 12:00:00,37.67,48.53,68.02,23.97,1.18,50.83,200.67
2015-04-12 13:00:00,21.0,29.52,70.76,22.84,1.36,54.4,91.6
2015-04-12 20:00:00,84.82,11.17,88.6,21.63,1.16,51.91,4.64
2015-04-12 21:00:00,44.33,18.01,57.84,19.64,0.59,63.33,4.58
2015-04-12 22:00:00,30.67,8.78,73.45,18.84,0.34,68.5,4.67
2015-04-12 23:00:00,58.17,7.17,82.14,18.72,0.31,71.0,4.67
2015-04-13 00:00:00,82.67,5.73,79.47,18.17,0.47,74.25,4.67
2015-04-13 01:00:00,102.33,7.23,67.59,17.9,0.71,73.83,4.42
2015-04-13 02:00:00,104.33,13.8,46.2,17.6,0.5,73.83,4.58
2015-04-13 03:00:00,78.33,6.42,66.09,17.16,0.43,76.08,4.67
2015-04-13 04:00:00,60.67,10.87,51.89,16.86,0.41,78.58,4.75
2015-04-13 05:00:00,37.83,8.25,48.58,16.58,0.32,80.0,5.08
2015-04-13 06:00:00,42.83,6.57,53.38,17.04,0.36,80.42,24.67
